,Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat,mean_make_price_by_year
679,Skoda,Octavia,2015,Universal,175700.0,2000.0,Diesel,14950.0,25100.0,Automatic,Medium,12547.511811023622
680,Rare,Alhambra,2012,Universal,171000.0,1400.0,Petrol,9550.0,17100.0,Manual,Medium,12690.562913907284
681,Renault,Grand Scenic,2013,Universal,212000.0,1500.0,Diesel,8500.0,23555.555555555555,Manual,Medium,7010.775280898876
682,Toyota,Auris,2007,Sedan,220000.0,1400.0,Diesel,5200.0,14666.666666666666,Manual,Medium,6360.069958847736
683,Volkswagen,Passat,2014,Universal,199000.0,1600.0,Diesel,10999.0,24875.0,Manual,Medium,10385.424
684,Nissan,Qashqai,2011,Crossover,162333.0,1500.0,Diesel,7990.0,14757.545454545454,Manual,Medium,8293.663551401869
685,Toyota,Avensis,2016,Universal,162000.0,2000.0,Diesel,13999.0,27000.0,Manual,Medium,14721.158536585366
686,Nissan,Juke,2012,Crossover,118483.0,1598.0,Petrol,7500.0,11848.3,Automatic,Medium,8748.095238095239
688,Mercedes,M Class,2013,SUV,199000.0,2200.0,Diesel,24899.0,22111.11111111111,Automatic,Medium,19224.329192546586
689,Ford,Fusion,2015,Sedan,169000.0,2000.0,Plug-in Hybrid,11999.0,24142.85714285714,Automatic,Medium,10439.094488188977
690,Mitsubishi,Outlander,2007,SUV,232000.0,3000.0,Metan/Propan,9200.0,15466.666666666666,Automatic,Medium,6908.903225806452
691,Chevrolet,Aveo,2011,Sedan,140000.0,1399.0,Metan/Propan,4499.0,12727.272727272728,Manual,Medium,9251.807692307691
692,Rare,Range Rover,2004,SUV,250000.0,3000.0,Diesel,8999.0,13888.888888888889,Automatic,Medium,4035.8270676691727
693,Audi,A6,2016,Sedan,59000.0,2000.0,Petrol,20499.0,9833.333333333334,Automatic,Small,26658.340909090908
694,BMW,5 Series,1994,Sedan,320000.0,2000.0,Petrol,2400.0,11428.57142857143,Manual,Medium,2231.925925925926
695,Mercedes,S Class,2010,Sedan,248000.0,3500.0,Hybrid,15799.0,20666.666666666668,Automatic,Medium,12290.094017094018
696,Nissan,Pixo,2011,Hatchback,143000.0,1000.0,Petrol,3400.0,13000.0,Manual,Medium,8293.663551401869
697,Skoda,Octavia,2011,Sedan,192000.0,1400.0,Petrol,6099.0,17454.545454545456,Manual,Medium,6472.142857142857
698,Volkswagen,Transporter,1997,Minivan,350000.0,1900.0,Diesel,3899.0,14000.0,Manual,Medium,2505.093023255814
699,Ford,Fiesta,2010,Hatchback,241828.0,1400.0,Diesel,4800.0,20152.33333333333,Manual,Medium,5731.813559322034
700,Hyundai,Tucson,2005,Crossover,148000.0,200.0,Diesel,7100.0,8705.882352941177,Manual,Small,3722.5915492957747
701,Skoda,Kodiaq,2019,Crossover,58255.0,2000.0,Diesel,24999.0,19418.33333333333,Automatic,Medium,18114.48148148148
702,Mercedes,CLS Class,2014,Coupe,140000.0,2143.0,Diesel,26000.0,17500.0,Automatic,Medium,20352.72972972973
703,Renault,Megane,2017,Sedan,88600.0,1500.0,Diesel,9500.0,17720.0,Manual,Medium,12336.33695652174
704,Opel,Vectra,2005,Universal,290000.0,1900.0,Diesel,3999.0,17058.823529411766,Manual,Medium,3389.5774647887324
